Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2003;NA;11700;NA;NA;NA;7290;120.529.071.369.523;NA;1.74;7290;4.24e+08;11700;NA;NA;446.153.846.153.846;446.153.846.153.846;446.153.846.153.846
2004;NA;6870;NA;NA;NA;5680;0.93910168090383;NA;1.26;5680;4.18e+08;6870;NA;NA;323.076.923.076.923;323.076.923.076.923;323.076.923.076.923
2005;NA;7710;NA;NA;NA;5970;0.987048773766878;NA;1.17;5970;3.64e+08;7710;NA;NA;3;3;3
2006;NA;8950;NA;NA;NA;6720;11.110.498.759.989;NA;1.3;6720;3.89e+08;8950;NA;NA;333.333.333.333.333;333.333.333.333.333;333.333.333.333.333
2007;NA;9210;NA;NA;NA;5530;0.914301460457426;NA;1.21;5530;5.65e+08;9210;NA;NA;31.025.641.025.641;31.025.641.025.641;31.025.641.025.641
2008;NA;9980;NA;NA;NA;6960;115.073.022.871.314;NA;1.07;6960;5.34e+08;9980;NA;NA;274.358.974.358.974;274.358.974.358.974;274.358.974.358.974
2009;NA;11800;NA;NA;NA;8090;133.755.855.607.605;NA;1.53;8090;4.24e+08;11800;NA;NA;392.307.692.307.692;392.307.692.307.692;392.307.692.307.692
2010;NA;9320;NA;NA;NA;6000;0.992008817856159;NA;1.67;6000;3.7e+08;9320;NA;NA;428.205.128.205.128;428.205.128.205.128;428.205.128.205.128
2011;NA;6660;NA;NA;NA;5420;0.896114632130063;NA;1.7;5420;3.23e+08;6660;NA;NA;435.897.435.897.436;435.897.435.897.436;435.897.435.897.436
2012;NA;5210;NA;NA;NA;4570;0.755580049600441;NA;1.74;4570;4.22e+08;5210;NA;NA;446.153.846.153.846;446.153.846.153.846;446.153.846.153.846
2013;NA;6450;NA;NA;NA;5630;0.930834940755029;NA;1.41;5630;3.98e+08;6450;NA;NA;361.538.461.538.461;361.538.461.538.461;361.538.461.538.461
2014;NA;8160;NA;NA;NA;4720;0.780380270046845;NA;1.12;4720;4.01e+08;8160;NA;NA;287.179.487.179.487;287.179.487.179.487;287.179.487.179.487
2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;SSB;;;;;;;;;;;;;UvT;;
