HAKEMEDGSA17-18;;;;;;;;;;;;;;;;;
1995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;NA;3030;NA;NA;NA;8310;121.162.257.862.945;NA;1.48;8310;3.22e+08;3030;NA;NA;9.25;9.25;9.25
2009;NA;3640;NA;NA;NA;7940;115.767.548.427.411;NA;1.2;7940;2.66e+08;3640;NA;NA;7.5;7.5;7.5
2010;NA;3210;NA;NA;NA;6920;100.895.646.740.262;NA;1.39;6920;2.41e+08;3210;NA;NA;86.875;86.875;86.875
2011;NA;3390;NA;NA;NA;6680;0.97396375755051;NA;1.36;6680;2.22e+08;3390;NA;NA;8.5;8.5;8.5
2012;NA;2570;NA;NA;NA;6220;0.906894397000625;NA;1.26;6220;3.15e+08;2570;NA;NA;7.875;7.875;7.875
2013;NA;2580;NA;NA;NA;6600;0.962299520933139;NA;1.17;6600;1.98e+08;2580;NA;NA;73.125;73.125;73.125
2014;NA;3280;NA;NA;NA;5340;0.77858779420954;NA;0.891;5340;2.69e+08;3280;NA;NA;556.875;556.875;556.875
2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;SSB;;;;;;;;;;;;;UvT;;
