Año;Bio;Btrend;BvB;BvT;CPUE;Ctrend;CvMEANC;CvMSY;FF;MCatch;R;SSB;Survey;U;Utrend;UvT;UvU
1994;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1995;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1996;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1997;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1998;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1999;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2004;NA;410;NA;NA;NA;177;0.882793017456359;NA;0.64;177;16800000;410;NA;NA;457.142.857.142.857;457.142.857.142.857;457.142.857.142.857
2005;NA;463;NA;NA;NA;176;0.877805486284289;NA;0.661;176;22900000;463;NA;NA;472.142.857.142.857;472.142.857.142.857;472.142.857.142.857
2006;NA;521;NA;NA;NA;216;107.730.673.316.708;NA;0.826;216;21100000;521;NA;NA;5.9;5.9;5.9
2007;NA;559;NA;NA;NA;209;104.239.401.496.259;NA;0.492;209;11500000;559;NA;NA;351.428.571.428.571;351.428.571.428.571;351.428.571.428.571
2008;NA;464;NA;NA;NA;133;0.663341645885287;NA;0.378;133;1.5e+07;464;NA;NA;2.7;2.7;2.7
2009;NA;497;NA;NA;NA;146;0.728179551122195;NA;0.399;146;1.8e+07;497;NA;NA;2.85;2.85;2.85
2010;NA;566;NA;NA;NA;244;121.695.760.598.504;NA;0.596;244;23200000;566;NA;NA;425.714.285.714.286;425.714.285.714.286;425.714.285.714.286
2011;NA;584;NA;NA;NA;228;113.715.710.723.192;NA;0.636;228;23800000;584;NA;NA;454.285.714.285.714;454.285.714.285.714;454.285.714.285.714
2012;NA;711;NA;NA;NA;179;0.892768079800499;NA;0.323;179;34100000;711;NA;NA;230.714.285.714.286;230.714.285.714.286;230.714.285.714.286
2013;NA;1240;NA;NA;NA;297;148.129.675.810.474;NA;0.435;297;53100000;1240;NA;NA;310.714.285.714.286;310.714.285.714.286;310.714.285.714.286
2014;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
;;SSB;;;;;;;;;;;;;UvT;;
